iteration,observerX1AngularPosition,observerX2AngularVelocity,realAngularPosition,motorAngularSpeed
41,-18.781604848766097,2.549554771281389,-19.68,-0.10471975511965977
42,-18.83347972914243,2.59276121980549,-19.68,-0.10471975511965977
43,-18.91911729825742,2.6682722165271557,-19.68,-0.10471975511965977
44,-18.979273171395505,2.727240455201669,-19.68,-0.10471975511965977
45,-19.056239847918413,2.8093630454435585,-19.68,-0.10471975511965977
46,-19.109325474638162,2.8736249367991737,-19.68,0.0
47,-19.13619098482017,2.9096415161956837,-19.68,0.0
48,-19.158526054484078,2.941363654387702,-19.68,0.0
49,-19.18296839819286,2.9779283390349867,-19.68,0.0
50,-19.207148532239508,3.0164025480543533,-19.68,0.0
51,-19.222696365900365,3.0428552265229154,-19.68,0.0
52,-19.24994254076362,3.0914279364802297,-19.68,0.0
53,-19.29113715226334,3.1718253061144774,-19.68,0.0
54,-19.30768142631451,3.2098850089188846,-19.68,0.0
55,-19.31967851784708,3.2397398481541564,-19.68,0.0
56,-19.331273650807816,3.2704747170216004,-19.68,0.0
57,-19.3420324557393,3.3009706405084,-19.68,0.0
58,-19.35091446504546,3.327935979509792,-19.68,0.0
59,-19.360114942163282,3.357665026737252,-19.68,0.0
60,-19.368106101310538,3.385390320185339,-19.68,0.0
61,-19.375368495681798,3.4123707718808216,-19.68,0.0
62,-19.384997480239242,3.450686465861857,-19.68,0.0
63,-19.397277364953105,3.504850507487233,-19.51,0.0
64,-19.387896090093353,3.544254085897825,-19.51,0.0
65,-19.381918611204792,3.570830177340869,-19.51,0.0
66,-19.37629535758781,3.5968055915381982,-19.33,0.0
67,-19.358331751028565,3.6226026990167544,-19.33,0.0
68,-19.342208234520253,3.6469464424718443,-19.33,0.0
69,-19.32686776383784,3.671252849197287,-19.16,0.0
70,-19.30253823892747,3.693573220369675,-19.16,0.0
71,-19.259593336277103,3.734870881307923,-18.98,0.0
72,-19.20905603630448,3.768639813779828,-18.8,0.0
73,-19.110170144131,3.8191653537752437,-18.8,0.0
74,-19.064450731565053,3.845582969492243,-18.63,0.0
75,-19.018957448999412,3.8662460441622386,-18.45,0.3141592653589793
76,-18.965979855993332,3.8856554682401874,-18.28,0.3141592653589793
77,-18.904400058460126,3.90473986460737,-18.28,0.3141592653589793
78,-18.84843013213127,3.9229392379678396,-18.1,0.3141592653589793
79,-18.7438533866013,3.9517202220356937,-18.1,0.3141592653589793
80,-18.635930420108966,3.983826665636305,-17.92,0.3141592653589793
81,-18.484845729887045,4.023403001982262,-17.57,0.41887902047863906
82,-18.38242328869947,4.04401463066056,-17.4,0.41887902047863906
83,-18.302649654838877,4.058527276945656,-17.22,0.41887902047863906
84,-18.216892725407487,4.072406691381259,-17.22,0.41887902047863906
85,-18.128869017803254,4.087264394937863,-17.05,0.41887902047863906
86,-18.044039449794376,4.100168394764904,-16.87,0.41887902047863906
87,-17.94928130742209,4.11307984433788,-16.69,0.41887902047863906
88,-17.803378539150547,4.131017284648724,-16.69,0.41887902047863906
89,-17.6304355352295,4.15357653420941,-16.52,0.41887902047863906
90,-17.438856928805574,4.177021625830982,-16.17,0.5235987755982988
91,-17.27502501977918,4.193395379398027,-15.99,0.5235987755982988
92,-17.174957833700077,4.2026279159487165,-15.82,0.5235987755982988
93,-17.068540499793944,4.211554390096743,-15.64,0.5235987755982988
94,-16.949917110588785,4.220547752401652,-15.46,0.5235987755982988
95,-16.837207832872238,4.228287048968019,-15.29,0.5235987755982988
96,-16.646564234284664,4.2401878644428495,-15.29,0.5235987755982988
97,-16.382375831646304,4.25746961593139,-14.94,0.5235987755982988
98,-16.222342160007287,4.266055728435123,-14.58,0.5235987755982988
99,-16.02900806178505,4.27420615706849,-14.41,0.5235987755982988
100,-15.899147711658548,4.279117953034054,-14.23,0.5235987755982988
101,-15.774501728365864,4.2832605622372135,-14.06,0.5235987755982988
102,-15.63626954514724,4.2872886198106785,-13.88,0.5235987755982988
103,-15.498089296859323,4.2907458927683715,-13.88,0.5235987755982988
104,-15.36948757604892,4.293939643053772,-13.71,0.5235987755982988
105,-15.167409073314676,4.298217135050126,-13.53,0.5235987755982988
106,-14.894001901039134,4.302939559669028,-13.35,0.5235987755982988
107,-14.746565967092343,4.3048924952618846,-13.0,0.5235987755982988
108,-14.614156345600225,4.305903120616022,-13.0,0.5235987755982988
109,-14.484747840407643,4.3067745711877565,-12.65,0.5235987755982988
110,-14.33840944404927,4.3070784778135724,-12.65,0.5235987755982988
111,-14.20995417999214,4.30716611587953,-12.48,0.5235987755982988
112,-14.07620464187167,4.306914959806049,-12.3,0.5235987755982988
